SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL_RAINFALL,JUN-SEP,MAR-MAY,OCT-DEC,JAN-FEB,CLOUD_COVERAGE,FLOODS
NAGA MANI MIZO TRIPURA,1992,0.0,4.6,29.8,96.9,113.9,263.5,358.5,369.0,170.2,72.6,55.2,13.2,1547.4,1161.2,240.6,141.0,4.6,73.5,0
SUB HIMALAYAN WEST BENGAL,1957,3.4,14.9,34.8,74.4,195.9,427.4,379.4,470.8,312.2,123.2,43.6,10.6,2090.6,1589.8,305.1,177.4,18.3,67.5,1
ANDAMAN & NICOBAR ISLANDS,1952,22.3,18.5,31.6,81.7,297.6,193.6,481.1,453.0,155.8,249.7,84.6,56.7,2126.2,1283.5,410.9,391.0,40.8,86.9,1
LAKSHADWEEP,1916,49.8,25.1,13.8,42.3,371.2,295.1,382.7,313.6,525.9,404.5,267.8,75.6,2767.4,1517.3,427.3,747.9,74.9,69.0,1
BIHAR,1909,3.0,25.2,12.8,32.0,23.2,144.3,440.7,295.0,155.9,39.5,9.1,15.4,1196.1,1035.9,68.0,64.0,28.2,59.0,0
BIHAR,2004,8.0,27.0,22.3,41.8,8.9,0.0,301.9,269.9,171.4,62.9,3.8,11.4,929.3,743.2,73.0,78.1,35.0,54.5,0
COASTAL ANDHRA PRADESH,1901,29.4,2.8,7.3,23.1,0.0,46.7,51.8,114.0,56.1,156.7,149.3,69.8,707.0,268.6,30.4,375.8,32.2,64.0,0
SUB HIMALAYAN WEST BENGAL,1932,4.4,21.5,32.4,41.9,131.6,359.9,255.1,439.0,203.5,95.9,38.0,4.7,1627.9,1257.5,205.9,138.6,25.9,59.3,0
GUJARAT REGION,1917,3.1,9.8,18.1,22.0,23.1,175.0,210.6,162.2,200.6,24.0,17.8,0.0,866.3,748.4,63.2,41.8,12.9,56.0,0
UTTARAKHAND,1932,69.1,63.4,91.2,57.4,97.7,95.8,361.7,148.4,143.4,30.7,21.0,38.7,1218.5,749.3,246.3,90.4,132.5,73.6,0
WEST UTTAR PRADESH,1933,6.6,10.4,4.2,12.3,0.0,129.9,360.5,126.7,147.6,133.3,14.8,16.1,962.4,764.7,16.5,164.2,17.0,51.9,0
SUB HIMALAYAN WEST BENGAL,1973,1.9,25.4,16.4,92.0,182.1,360.5,358.6,380.2,305.6,153.3,28.1,17.4,1921.5,1404.9,290.5,198.8,27.3,76.8,1
WEST UTTAR PRADESH,1992,8.3,4.8,18.4,24.2,30.9,158.0,453.0,29.1,145.2,49.7,29.6,10.9,962.1,785.3,73.5,90.2,13.1,77.7,1
JHARKHAND,1931,11.0,22.1,13.2,27.8,22.0,86.8,441.5,289.5,225.1,27.6,20.1,18.7,1205.4,1042.9,63.0,66.4,33.1,79.0,1
COASTAL ANDHRA PRADESH,1969,16.4,20.8,13.1,52.1,49.5,54.1,104.3,73.2,108.7,290.2,286.7,54.0,1123.1,340.3,114.7,630.9,37.2,79.6,0
TELANGANA,2012,20.9,8.2,16.6,33.9,20.9,89.5,302.8,116.6,159.8,67.4,12.3,0.0,848.9,668.7,71.4,79.7,29.1,61.5,0
WEST MADHYA PRADESH,1992,16.6,9.9,6.2,23.2,26.8,79.3,412.3,210.2,51.2,99.8,10.0,4.4,949.9,753.0,56.2,114.2,26.5,64.9,1
EAST MADHYA PRADESH,2015,0.3,12.5,24.1,25.1,29.1,47.9,207.1,275.0,124.9,66.1,21.8,13.8,847.7,654.9,78.3,101.7,12.8,63.7,0
SUB HIMALAYAN WEST BENGAL,1924,6.0,33.9,57.2,66.5,119.4,399.1,432.1,377.9,216.7,113.8,30.1,9.3,1862.0,1425.8,243.1,153.2,39.9,73.0,1
WEST RAJASTHAN,1987,3.0,7.9,7.1,4.5,9.9,0.0,157.5,109.6,102.0,11.0,6.7,0.9,420.1,369.1,21.5,18.6,10.9,39.0,0
JHARKHAND,1901,0.0,11.2,9.3,7.4,43.5,222.5,289.5,245.4,184.4,40.4,20.6,0.0,1074.2,941.8,60.2,61.0,11.2,57.6,0
HIMACHAL PRADESH,1908,33.2,46.3,73.5,34.0,84.0,160.2,185.9,274.3,125.5,49.5,23.5,46.7,1136.6,745.9,191.5,119.7,79.5,73.5,0
HIMACHAL PRADESH,1959,82.7,23.2,83.5,63.5,87.6,126.0,222.6,153.7,90.1,39.5,0.0,18.5,990.9,592.4,234.6,58.0,105.9,49.4,0
COASTAL KARNATAKA,1972,0.0,5.3,13.8,17.7,76.7,399.9,549.9,583.7,227.0,31.2,17.8,2.3,1925.3,1760.5,108.2,51.3,5.3,92.9,1
SUB HIMALAYAN WEST BENGAL,1959,7.4,23.0,45.8,77.4,196.7,284.8,340.0,64.9,208.2,54.2,29.4,0.0,1331.8,897.9,319.9,83.6,30.4,77.8,0
COASTAL ANDHRA PRADESH,1971,15.0,10.3,29.6,25.6,76.8,68.6,103.0,90.0,21.5,232.3,404.8,115.9,1193.4,283.1,132.0,753.0,25.3,69.3,1
CHHATTISGARH,2002,11.4,20.7,18.3,0.0,22.5,221.8,207.3,242.1,106.9,113.5,31.8,2.7,999.0,778.1,40.8,148.0,32.1,50.5,0
BIHAR,1927,12.9,2.3,19.7,19.0,45.5,188.9,239.2,242.1,41.0,56.1,2.3,6.7,875.7,711.2,84.2,65.1,15.2,52.4,0
ASSAM & MEGHALAYA,2014,11.6,14.1,30.3,49.2,135.4,282.5,449.5,381.6,262.3,44.7,46.1,9.3,1716.6,1375.9,214.9,100.1,25.7,83.2,1
CHHATTISGARH,1915,13.4,15.6,15.0,19.9,33.6,174.4,434.0,457.9,200.3,0.0,5.5,18.9,1388.5,1266.6,68.5,24.4,29.0,76.3,1
NORTH INTERIOR KARNATAKA,1930,3.5,0.2,11.7,3.9,22.3,17.5,109.2,139.7,52.5,11.3,4.0,0.3,376.1,318.9,37.9,15.6,3.7,63.7,0
WEST MADHYA PRADESH,1996,12.1,8.6,24.8,6.4,13.5,191.2,272.0,223.7,242.3,41.8,13.0,16.4,1065.8,929.2,44.7,71.2,20.7,67.8,0
RAYALSEEMA,1924,0.0,2.8,6.1,0.0,0.0,6.0,133.0,80.6,41.4,9.1,0.0,2.1,281.1,261.0,6.1,11.2,2.8,54.2,0
WEST MADHYA PRADESH,1925,18.2,0.0,10.3,15.2,27.4,210.1,238.0,252.9,388.5,56.7,32.7,11.0,1261.0,1089.5,52.9,100.4,18.2,58.1,0
NORTH INTERIOR KARNATAKA,1982,4.0,0.5,1.5,5.9,17.9,95.6,95.8,118.5,11.2,25.6,0.0,4.6,381.1,321.1,25.3,30.2,4.5,40.9,0
WEST MADHYA PRADESH,1997,19.2,5.2,39.4,25.2,31.4,178.6,507.7,180.5,101.6,37.4,15.3,0.0,1141.5,968.4,96.0,52.7,24.4,73.2,1
JAMMU & KASHMIR,1986,63.8,61.2,44.5,58.0,29.4,212.3,404.7,248.0,149.3,60.6,25.9,17.9,1375.6,1014.3,131.9,104.4,125.0,61.3,1
VIDARBHA,1930,10.5,17.3,1.5,14.5,9.8,96.1,329.6,201.3,158.9,11.2,16.9,7.7,875.3,785.9,25.8,35.8,27.8,58.2,0
EAST MADHYA PRADESH,1913,18.2,24.4,0.0,0.0,30.4,109.6,172.7,261.3,196.1,34.8,8.8,3.4,859.7,739.7,30.4,47.0,42.6,51.4,0
SAURASHTRA & KUTCH,1954,2.8,7.2,0.7,4.8,11.0,49.8,133.8,181.7,77.2,21.0,3.2,1.0,494.2,442.5,16.5,25.2,10.0,45.3,0
MATSHYA PRADESH,1995,5.2,0.0,7.4,7.4,22.3,31.9,74.9,83.7,47.1,23.1,6.4,6.8,316.2,237.6,37.1,36.3,5.2,51.4,0
WEST RAJASTHAN,1995,4.8,2.5,6.7,4.4,0.0,17.0,121.1,54.8,58.0,4.3,1.7,4.7,280.0,250.9,11.1,10.7,7.3,51.0,0
EAST MADHYA PRADESH,1988,2.5,6.3,2.9,20.9,45.5,247.9,146.2,329.5,191.5,52.1,10.8,0.0,1056.1,915.1,69.3,62.9,8.8,56.5,0
ORISSA,1986,3.5,15.3,0.0,4.2,48.3,157.3,220.4,270.1,226.9,93.7,3.9,1.9,1045.5,874.7,52.5,99.5,18.8,73.2,0
HARYANA DELHI & CHANDIGARH,1934,3.4,5.1,5.2,1.2,15.4,32.1,61.7,99.6,56.6,23.0,1.4,3.5,308.2,250.0,21.8,27.9,8.5,50.7,0
RAYALSEEMA,2004,5.7,7.0,8.1,10.6,12.8,15.1,170.5,156.4,31.9,22.4,0.5,3.4,444.4,373.9,31.5,26.3,12.7,63.1,0
TELANGANA,1995,10.5,1.0,10.0,19.3,44.9,115.3,380.2,335.1,105.0,93.7,12.2,5.0,1132.2,935.6,74.2,110.9,11.5,75.6,0
TELANGANA,1956,6.3,12.0,10.8,9.9,18.7,158.3,265.6,302.2,183.7,62.3,20.9,16.5,1067.2,909.8,39.4,99.7,18.3,68.4,0
TAMIL NADU,1929,30.4,26.7,19.4,34.9,106.1,0.0,53.6,123.8,139.2,379.6,310.7,98.5,1322.9,316.6,160.4,788.8,57.1,78.7,0
NORTH INTERIOR KARNATAKA,1914,3.8,6.0,2.6,5.5,25.5,90.1,85.1,109.7,52.7,23.6,2.8,0.0,407.4,337.6,33.6,26.4,9.8,50.4,0
WEST RAJASTHAN,1946,3.4,6.7,6.4,10.3,0.0,63.9,24.5,130.8,93.6,1.3,5.0,5.1,351.0,312.8,16.7,11.4,10.1,63.4,0
JAMMU & KASHMIR,1995,94.9,107.5,63.6,67.9,42.3,55.4,403.7,267.3,57.9,71.2,7.6,22.1,1261.4,784.3,173.8,100.9,202.4,73.6,1
NAGA MANI MIZO TRIPURA,1977,0.0,34.2,54.6,117.6,180.0,506.0,467.0,332.8,310.9,182.2,18.3,4.8,2208.4,1616.7,352.2,205.3,34.2,75.2,1
NORTH INTERIOR KARNATAKA,1928,4.4,0.0,5.2,12.3,10.2,91.9,47.0,147.7,80.3,0.0,12.1,2.9,414.0,366.9,27.7,15.0,4.4,47.4,0
HIMACHAL PRADESH,1917,54.5,66.2,62.6,34.0,65.8,100.6,95.2,219.5,8.0,47.1,5.2,32.5,791.2,423.3,162.4,84.8,120.7,75.0,0
COASTAL KARNATAKA,1950,1.2,1.7,7.0,25.7,0.0,682.7,1141.9,654.2,278.9,65.8,3.7,0.0,2862.8,2757.7,32.7,69.5,2.9,84.9,1
RAYALSEEMA,1985,5.7,5.4,10.3,8.4,9.4,51.4,156.2,29.1,38.5,8.1,5.2,4.1,331.8,275.2,28.1,17.4,11.1,49.3,0
JHARKHAND,2004,0.0,10.1,10.0,20.1,23.0,241.9,73.5,284.2,238.0,81.0,22.9,13.6,1018.3,837.6,53.1,117.5,10.1,54.9,0
NORTH INTERIOR KARNATAKA,2002,0.0,3.5,1.9,13.8,12.1,24.2,60.6,179.6,59.3,7.2,4.4,6.8,373.4,323.7,27.8,18.4,3.5,64.3,0
NORTH INTERIOR KARNATAKA,1922,7.6,0.0,2.4,13.3,8.0,60.4,82.1,82.2,43.0,21.4,4.6,3.2,328.2,267.7,23.7,29.2,7.6,53.2,0
ASSAM & MEGHALAYA,2012,7.7,0.0,43.2,81.0,135.9,399.1,489.7,382.8,320.5,114.8,56.6,0.0,2031.3,1592.1,260.1,171.4,7.7,86.3,1
MADHYA MAHARASHTRA,1981,12.9,5.2,0.0,21.9,34.2,239.4,165.7,352.4,345.7,48.7,2.1,5.6,1233.8,1103.2,56.1,56.4,18.1,81.2,0
MATSHYA PRADESH,1924,0.6,12.4,2.1,8.1,19.7,63.7,144.2,54.7,74.6,26.0,7.2,0.4,413.7,337.2,29.9,33.6,13.0,45.1,0
PUNJAB,1949,5.0,0.0,0.5,4.7,0.0,49.3,14.7,119.4,48.1,8.8,2.6,2.9,256.0,231.5,5.2,14.3,5.0,59.3,0
KERALA,2001,9.1,13.9,15.4,27.1,64.0,523.7,907.8,390.1,322.9,119.1,25.4,1.6,2420.1,2144.5,106.5,146.1,23.0,94.5,1
BIHAR,2000,15.1,13.5,0.5,18.9,32.2,226.7,281.8,163.3,249.2,53.2,0.0,9.9,1064.3,921.0,51.6,63.1,28.6,54.4,0
ASSAM & MEGHALAYA,1986,13.1,36.3,37.1,60.3,183.7,307.8,422.0,258.2,125.4,131.8,43.6,8.2,1627.5,1113.4,281.1,183.6,49.4,70.4,1
PUNJAB,2006,4.7,3.5,3.2,10.0,0.0,79.0,108.5,59.8,25.8,15.4,3.1,0.0,313.0,273.1,13.2,18.5,8.2,42.8,0
MATSHYA PRADESH,1914,3.5,4.7,0.0,11.5,25.3,31.4,62.6,69.2,74.9,9.0,3.6,0.9,296.6,238.1,36.8,13.5,8.2,52.1,0
ASSAM & MEGHALAYA,1910,19.2,25.9,39.2,77.2,103.7,255.0,279.1,227.1,467.8,133.9,52.0,3.6,1683.7,1229.0,220.1,189.5,45.1,69.9,1
WEST UTTAR PRADESH,1948,5.5,12.3,13.5,10.7,31.3,160.5,343.2,377.6,154.5,96.5,15.7,0.0,1221.3,1035.8,55.5,112.2,17.8,68.6,0
KONKAN & GOA,1933,7.5,5.4,7.8,18.0,122.4,596.9,1134.8,555.6,258.8,89.9,25.1,14.1,2836.3,2546.1,148.2,129.1,12.9,75.5,1
UTTARAKHAND,1911,82.4,73.7,55.7,90.3,17.9,83.0,248.1,399.1,148.7,45.5,11.6,35.4,1291.4,878.9,163.9,92.5,156.1,80.4,0
JAMMU & KASHMIR,2011,79.4,63.0,31.9,41.9,85.1,78.7,276.7,145.6,87.6,66.0,21.9,35.2,1013.0,588.6,158.9,123.1,142.4,62.9,0
ASSAM & MEGHALAYA,1990,14.9,2.6,32.9,103.0,64.4,132.1,220.7,386.8,229.9,163.9,31.8,25.0,1408.0,969.5,200.3,220.7,17.5,72.8,0
NAGA MANI MIZO TRIPURA,1908,3.6,27.2,42.4,50.2,132.1,307.3,328.1,430.0,187.2,224.6,44.3,12.8,1789.8,1252.6,224.7,281.7,30.8,63.9,1
GUJARAT REGION,1908,25.1,9.5,21.1,22.7,42.0,239.8,329.4,343.3,141.5,53.8,31.4,11.6,1271.2,1054.0,85.8,96.8,34.6,55.8,0
NAGA MANI MIZO TRIPURA,2003,2.8,0.0,50.3,27.0,96.7,248.3,229.1,295.7,153.5,128.1,11.6,10.2,1253.3,926.6,174.0,149.9,2.8,72.8,0
COASTAL KARNATAKA,1929,6.1,8.1,5.8,30.9,98.2,368.9,995.3,879.0,291.2,111.4,35.7,15.0,2845.6,2534.4,134.9,162.1,14.2,84.8,1
KERALA,2012,9.2,1.2,3.4,33.1,71.2,531.6,706.7,177.9,203.3,179.1,29.2,0.0,1945.9,1619.5,107.7,208.3,10.4,82.9,1
NAGA MANI MIZO TRIPURA,1916,12.7,16.5,26.2,37.9,158.4,383.8,554.7,227.8,402.9,117.2,30.4,17.1,1985.6,1569.2,222.5,164.7,29.2,75.6,1
NAGA MANI MIZO TRIPURA,2001,15.6,24.2,32.8,98.7,181.3,148.8,402.7,99.5,268.9,101.4,37.4,1.4,1412.7,919.9,312.8,140.2,39.8,69.2,1
ARUNACHAL PRADESH,2007,23.8,21.5,55.1,83.0,106.6,75.8,424.7,264.7,208.0,95.1,56.2,29.2,1443.7,973.2,244.7,180.5,45.3,58.1,0
KERALA,1981,2.2,1.9,0.0,37.8,55.3,454.0,905.8,548.3,247.4,160.5,28.7,0.0,2441.9,2155.5,93.1,189.2,4.1,94.4,1
ARUNACHAL PRADESH,2001,20.7,10.1,25.6,58.6,143.0,272.6,518.6,531.0,218.9,73.1,22.2,13.5,1907.9,1541.1,227.2,108.8,30.8,64.8,1
CHHATTISGARH,1987,0.2,0.0,5.0,35.2,36.5,138.5,345.7,157.0,184.0,6.4,18.5,9.6,936.6,825.2,76.7,34.5,0.2,72.6,0
TELANGANA,1912,0.0,17.1,26.5,1.7,29.9,209.5,247.6,355.4,170.2,44.2,27.5,2.4,1132.0,982.7,58.1,74.1,17.1,73.0,0
EAST UTTAR PRADESH,1999,3.7,4.8,3.6,21.8,22.3,179.3,123.9,170.2,183.6,104.1,18.8,4.5,840.6,657.0,47.7,127.4,8.5,57.8,0
NORTH INTERIOR KARNATAKA,2010,4.1,8.6,2.3,11.5,0.0,46.1,89.1,81.8,56.9,26.4,0.5,0.0,327.3,273.9,13.8,26.9,12.7,66.6,0
WEST MADHYA PRADESH,1981,1.8,20.2,0.0,13.1,42.6,146.5,381.6,97.2,157.5,100.1,3.7,14.2,978.5,782.8,55.7,118.0,22.0,75.5,0
EAST UTTAR PRADESH,1967,15.6,15.4,9.1,26.7,20.1,166.4,167.3,262.3,263.3,51.0,25.9,26.6,1049.7,859.3,55.9,103.5,31.0,78.0,0
EAST UTTAR PRADESH,1979,24.3,18.8,26.0,25.9,5.9,173.7,376.6,191.7,247.6,81.1,33.5,5.5,1210.6,989.6,57.8,120.1,43.1,63.6,0
RAYALSEEMA,1986,8.3,0.0,0.0,8.4,10.6,50.2,167.3,77.9,3.8,35.4,1.0,0.9,363.8,299.2,19.0,37.3,8.3,49.5,0
RAYALSEEMA,1924,3.8,6.9,9.3,6.3,30.2,0.0,158.0,66.4,101.2,16.4,2.0,4.3,404.8,325.6,45.8,22.7,10.7,60.1,0
GANGETIC WEST BENGAL,1927,1.8,14.2,39.9,78.8,177.5,98.5,440.1,318.1,204.5,82.9,26.8,0.0,1483.1,1061.2,296.2,109.7,16.0,62.9,1
WEST UTTAR PRADESH,1971,11.2,5.6,12.8,38.5,44.9,204.1,235.0,303.4,163.6,54.1,19.1,4.4,1096.7,906.1,96.2,77.6,16.8,64.2,0
COASTAL ANDHRA PRADESH,1919,39.3,17.2,3.7,43.3,75.4,53.0,54.1,99.1,99.2,131.5,227.0,155.2,998.0,305.4,122.4,513.7,56.5,56.6,0
EAST UTTAR PRADESH,1962,12.5,13.1,20.8,5.3,38.2,110.4,188.5,219.6,275.3,49.1,37.0,0.0,969.8,793.8,64.3,86.1,25.6,77.9,0
WEST UTTAR PRADESH,1981,4.3,11.2,17.7,11.6,25.8,155.2,322.4,377.3,179.0,43.1,22.0,10.4,1180.0,1033.9,55.1,75.5,15.5,79.5,0
CHHATTISGARH,1963,5.7,7.8,0.0,16.1,3.6,111.6,332.2,139.6,166.7,62.0,12.6,5.1,863.0,750.1,19.7,79.7,13.5,72.6,0
COASTAL KARNATAKA,1976,5.0,3.3,16.9,5.3,104.1,675.5,839.8,548.4,111.0,189.4,56.8,2.3,2557.8,2174.7,126.3,248.5,8.3,83.1,1
NAGA MANI MIZO TRIPURA,2000,16.6,9.1,46.9,88.9,108.2,334.8,532.7,317.4,388.7,32.2,63.3,10.5,1949.3,1573.6,244.0,106.0,25.7,93.4,1
GUJARAT REGION,1971,7.7,20.8,5.6,14.7,4.8,74.7,453.1,315.4,84.1,95.8,8.0,11.8,1096.5,927.3,25.1,115.6,28.5,71.5,1
UTTARAKHAND,1986,40.1,75.8,56.0,28.9,60.7,206.2,381.1,95.4,184.6,36.4,16.6,24.0,1205.8,867.3,145.6,77.0,115.9,78.6,0
NORTH INTERIOR KARNATAKA,1948,2.7,5.9,7.4,12.3,10.1,57.1,168.1,146.6,58.2,12.8,4.6,0.7,486.5,430.0,29.8,18.1,8.6,67.5,0
ASSAM & MEGHALAYA,1957,2.0,46.3,6.4,65.0,154.0,398.6,477.6,604.2,269.4,76.4,26.7,7.4,2134.0,1749.8,225.4,110.5,48.3,65.1,1
NORTH INTERIOR KARNATAKA,1979,5.6,10.1,0.9,11.0,4.3,44.7,116.9,134.5,82.3,16.2,0.0,3.9,430.4,378.4,16.2,20.1,15.7,63.0,0
MADHYA MAHARASHTRA,1975,13.2,18.5,3.4,28.7,52.9,264.2,537.9,187.8,377.7,49.4,9.1,10.0,1552.8,1367.6,85.0,68.5,31.7,80.1,1
CHHATTISGARH,2014,0.1,10.1,27.9,19.3,32.1,178.5,385.4,127.6,220.9,52.0,16.7,14.4,1085.0,912.4,79.3,83.1,10.2,59.6,0
WEST RAJASTHAN,1994,3.9,7.6,6.8,4.2,0.0,39.8,175.5,134.2,72.3,13.3,2.4,2.7,462.7,421.8,11.0,18.4,11.5,62.5,0
NAGA MANI MIZO TRIPURA,1904,7.9,50.4,41.8,69.6,213.8,96.2,457.6,342.0,410.3,150.2,32.1,15.3,1887.2,1306.1,325.2,197.6,58.3,63.5,1
JHARKHAND,2005,11.5,0.0,8.5,9.9,36.7,150.3,335.6,273.2,254.1,37.8,15.6,14.7,1147.9,1013.2,55.1,68.1,11.5,80.7,0
ANDAMAN & NICOBAR ISLANDS,1967,43.6,2.2,9.7,48.0,276.5,342.8,475.5,401.8,384.8,303.6,244.5,0.0,2533.0,1604.9,334.2,548.1,45.8,69.1,1
WEST MADHYA PRADESH,1983,1.2,5.2,15.9,14.1,21.8,124.7,398.3,349.3,181.6,109.6,20.1,14.9,1256.7,1053.9,51.8,144.6,6.4,61.8,0
NAGA MANI MIZO TRIPURA,2015,3.1,12.2,26.7,77.4,143.0,332.4,636.8,429.3,233.7,119.8,52.6,16.3,2083.3,1632.2,247.1,188.7,15.3,77.5,1
KERALA,1980,2.8,3.2,18.2,19.3,65.8,803.9,1119.5,653.2,234.5,94.5,41.6,12.6,3069.1,2811.1,103.3,148.7,6.0,94.4,1
MADHYA MAHARASHTRA,1986,11.2,0.0,26.0,37.3,65.3,55.5,156.6,315.4,262.8,84.3,25.8,16.3,1056.5,790.3,128.6,126.4,11.2,49.9,0
HARYANA DELHI & CHANDIGARH,1956,1.4,12.8,4.3,7.3,4.7,45.9,236.7,89.9,75.6,24.5,3.5,2.2,508.8,448.1,16.3,30.2,14.2,49.0,0
EAST MADHYA PRADESH,1955,6.0,19.5,14.3,34.6,28.6,71.0,0.0,112.9,63.4,68.0,5.3,0.0,423.6,247.3,77.5,73.3,25.5,42.9,0
WEST RAJASTHAN,1952,5.4,6.8,7.2,0.0,15.5,47.0,58.9,14.5,56.7,25.6,0.0,1.3,238.9,177.1,22.7,26.9,12.2,61.8,0
JAMMU & KASHMIR,1950,52.2,127.9,15.1,0.0,75.4,2.5,286.9,209.4,95.9,31.5,2.1,25.2,924.1,594.7,90.5,58.8,180.1,47.9,0
ANDAMAN & NICOBAR ISLANDS,2000,21.2,23.0,49.9,43.3,382.0,243.7,219.9,419.9,326.6,340.4,259.5,109.4,2438.8,1210.1,475.2,709.3,44.2,79.3,1
NORTH INTERIOR KARNATAKA,1949,1.7,3.6,8.5,8.7,20.5,81.8,141.7,23.2,68.1,8.8,9.4,3.8,379.8,314.8,37.7,22.0,5.3,62.0,0
ANDAMAN & NICOBAR ISLANDS,2008,8.1,2.0,51.5,76.7,348.5,344.5,351.3,298.4,321.7,246.2,97.5,51.3,2197.7,1315.9,476.7,395.0,10.1,80.2,1
WEST UTTAR PRADESH,1919,10.6,7.8,4.5,30.2,28.4,120.6,283.8,470.9,260.7,94.9,19.4,9.0,1340.8,1136.0,63.1,123.3,18.4,78.8,1
WEST RAJASTHAN,2008,0.0,2.3,3.1,0.0,3.4,0.5,118.1,132.8,93.2,19.1,1.1,0.0,373.6,344.6,6.5,20.2,2.3,50.4,0
JAMMU & KASHMIR,1955,37.8,65.2,34.6,46.8,44.2,120.5,341.2,147.4,175.1,39.7,11.7,43.3,1107.5,784.2,125.6,94.7,103.0,51.6,0
COASTAL KARNATAKA,1915,8.5,1.2,8.5,29.2,70.4,705.3,856.2,843.2,147.0,113.9,21.8,14.8,2820.0,2551.7,108.1,150.5,9.7,81.6,1
HIMACHAL PRADESH,1978,94.9,58.7,45.3,58.5,5.5,141.5,124.0,315.6,134.9,38.2,7.8,6.3,1031.2,716.0,109.3,52.3,153.6,71.2,0
TAMIL NADU,1957,26.7,12.2,9.9,0.0,51.0,55.8,140.4,65.1,73.4,222.4,274.4,183.8,1115.1,334.7,60.9,680.6,38.9,52.6,0
RAYALSEEMA,1940,4.8,1.9,3.1,13.6,31.0,88.2,157.9,89.9,0.0,18.0,4.0,3.3,415.7,336.0,47.7,25.3,6.7,44.2,0
SUB HIMALAYAN WEST BENGAL,1904,14.5,27.6,53.6,108.4,170.2,259.0,391.5,360.0,289.7,169.9,39.7,26.6,1910.7,1300.2,332.2,236.2,42.1,65.1,1
EAST UTTAR PRADESH,1951,21.2,12.6,0.0,34.8,21.9,101.9,244.1,224.3,222.9,13.2,4.2,10.1,911.2,793.2,56.7,27.5,33.8,70.8,0
MADHYA MAHARASHTRA,1977,3.3,4.2,9.9,22.9,52.3,27.2,260.1,153.4,64.3,89.0,20.4,10.7,717.7,505.0,85.1,120.1,7.5,53.6,0
BIHAR,1905,11.8,9.3,8.0,37.6,13.3,137.4,144.5,355.1,146.8,39.0,21.6,0.0,924.4,783.8,58.9,60.6,21.1,75.6,0
JAMMU & KASHMIR,1925,75.9,59.2,29.9,20.2,32.9,97.8,154.1,250.6,76.5,0.0,34.2,33.0,864.3,579.0,83.0,67.2,135.1,74.5,0
VIDARBHA,1996,8.7,23.4,26.2,22.7,25.2,166.1,233.3,397.5,166.8,57.4,0.0,6.8,1134.1,963.7,74.1,64.2,32.1,58.3,0
COASTAL KARNATAKA,1929,1.9,4.4,3.1,28.5,93.8,675.7,572.1,567.1,457.7,157.4,41.9,0.0,2603.6,2272.6,125.4,199.3,6.3,87.4,1
NAGA MANI MIZO TRIPURA,2004,20.5,25.5,25.6,81.6,178.7,394.1,437.5,444.1,274.7,114.9,23.1,13.4,2033.7,1550.4,285.9,151.4,46.0,86.0,1
JAMMU & KASHMIR,1939,29.5,35.1,87.6,43.5,55.4,129.7,390.1,198.8,217.0,44.7,0.0,17.6,1249.0,935.6,186.5,62.3,64.6,76.5,0
MATSHYA PRADESH,1917,7.7,6.4,2.9,3.4,26.4,17.9,114.8,194.6,44.4,2.3,0.0,7.8,428.6,371.7,32.7,10.1,14.1,42.9,0
SAURASHTRA & KUTCH,1939,3.4,2.3,0.0,11.9,15.3,67.6,120.3,105.2,0.0,24.1,0.7,1.3,352.1,293.1,27.2,26.1,5.7,48.1,0
WEST MADHYA PRADESH,1908,3.6,4.9,35.2,11.9,23.4,194.5,239.8,166.7,161.9,120.3,10.2,2.5,974.9,762.9,70.5,133.0,8.5,54.8,0
TAMIL NADU,1906,44.3,20.9,14.3,63.9,64.0,20.4,62.8,57.0,50.1,117.8,285.3,157.7,958.5,190.3,142.2,560.8,65.2,76.7,0
HIMACHAL PRADESH,1948,78.6,79.5,64.5,38.0,82.4,140.3,144.3,197.0,136.3,40.0,16.8,15.8,1033.5,617.9,184.9,72.6,158.1,49.8,0
COASTAL KARNATAKA,1917,5.4,10.0,11.0,3.1,137.1,666.7,682.1,349.5,339.6,114.1,71.5,7.2,2397.3,2037.9,151.2,192.8,15.4,87.5,1
ANDAMAN & NICOBAR ISLANDS,1950,29.1,31.6,31.6,54.6,332.9,384.4,144.2,497.0,338.9,306.6,41.7,138.1,2330.7,1364.5,419.1,486.4,60.7,81.9,1
RAYALSEEMA,1910,4.3,12.0,2.6,16.4,2.3,70.0,112.9,71.7,10.2,12.4,3.0,3.3,321.1,264.8,21.3,18.7,16.3,44.0,0
COASTAL KARNATAKA,1992,6.1,8.8,5.2,12.0,101.5,594.1,966.1,405.1,122.1,93.3,24.7,9.4,2348.4,2087.4,118.7,127.4,14.9,89.0,1
ARUNACHAL PRADESH,1966,15.2,13.2,36.5,77.1,193.8,257.6,542.4,250.5,304.3,85.6,46.7,3.5,1826.4,1354.8,307.4,135.8,28.4,66.2,1
PUNJAB,1926,1.8,0.0,5.4,11.0,19.8,46.4,87.0,88.9,52.8,17.5,4.6,6.5,341.7,275.1,36.2,28.6,1.8,67.1,0
COASTAL KARNATAKA,1909,5.3,3.7,12.8,18.7,78.0,808.7,702.9,612.0,51.9,110.7,30.2,11.0,2445.9,2175.5,109.5,151.9,9.0,87.6,1
